time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-31 00:00:00+00:00,2,2,,
2024-01-01 00:00:00+00:00,7,3,,
2024-01-02 00:00:00+00:00,5,2,6.0,2.0
2024-01-03 00:00:00+00:00,3,2,21.0,2.0
2024-01-04 00:00:00+00:00,1,1,1.0,1.0
2024-01-05 00:00:00+00:00,1,1,4.0,3.0
2024-01-06 00:00:00+00:00,5,2,3.0,3.0
2024-01-07 00:00:00+00:00,1,1,1.0,1.0
2024-01-08 00:00:00+00:00,19,3,91.0,7.0
2024-01-09 00:00:00+00:00,13,3,18.0,3.0
2024-01-10 00:00:00+00:00,2,2,15.0,6.0
2024-01-11 00:00:00+00:00,3,2,55.0,3.0
2024-01-12 00:00:00+00:00,5,4,9.0,3.0
